noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
25826028,1,,cpv,45,"43,44,71",
25826032,1,,cpv,45,"43,44,71",
25826036,1,,cpv,45,"43,44,71",
25826044,1,,cpv,45,"43,44,71",
25826086,1,,cpv,45262660-5,,
25826012,1,,cpv,45,"43,44,71",
25826016,1,,cpv,45262670-8,,
25826058,1,,cpv,45112700-2,,
25825836,1,,cpv,45341000-9,45340000-2,
200ff04c-a468-4b9e-bd0f-b1b7643c3f77,1,,cpv,45000000,"43000000,44000000,71000000",
b0f6fa43-92ac-4e7c-a8c9-55e3487121b0,2,,cpv,45000000,"43000000,44000000,71000000",
cb0b417c-4949-40cb-babb-8d35ac5ecb26,1,,cpv,45000000,"43000000,44000000,71000000",
86a622d6-b5c8-42ae-8e4e-834ac610f252,2,,cpv,45000000,"43000000,44000000,71000000",
a9a248f5-fa5a-471c-8cb2-30ea888267a3,2,,cpv,45000000,"43000000,44000000,71000000",
533019ec-0a4e-4ace-b65a-80ad779a29ec,01,,cpv,45000000,,
b8c743e3-0629-4d28-9e6f-5a669b05f017,01,,cpv,45000000,,
57f6110d-aabb-4481-b481-a36e978c631c,1,,cpv,45000000,"43000000,44000000,71000000",
c62abfd1-f12f-483b-ad30-083a126132f6,1,,cpv,45000000,"43000000,44000000,71000000",
25827258,1,,cpv,45232000-2,,
25827454,1,,cpv,45240000-1,,
25827482,1,,cpv,45,"43,44,71",
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,LOT-0000,cpv,45262100,,
7b083735-d2fe-4149-b920-ca6a524868e3,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
62017582-b322-43ba-b234-99c6d10e7cde,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
8168d760-e364-4120-9df0-b30c308f22c7,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,LOT-0000,cpv,45313100,,
041a3b4a-d1d4-4009-9dcc-6ff36b793ef3,01,LOT-0001,cpv,45324000,,
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,LOT-0000,cpv,45000000,,
307bbb8e-7821-42e3-bebc-c5ce607d6d58,01,LOT-0001,cpv,45262100,,
5bf0da81-04b4-4540-a2a1-fa832e81b42d,01,LOT-0000,cpv,45000000,,
