noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
25822884,1,,99974 Mühlhausen,,DEG,DEU
25822892,1,,40474 Düsseldorf,,DEA,DEU
25822900,1,,26897 Esterwegen,,DE9,DEU
25822904,1,,41460 Neuss,,DEA,DEU
25822908,1,,76863 Herxheim,,DEB,DEU
25822912,1,,27432 Bremervörde,,DE9,DEU
25822916,1,,14109 Berlin,,DE3,DEU
25822920,1,,23560 Lübeck,,DEF,DEU
25822924,1,,66629 Freisen,,DEC,DEU
25822928,1,,66629 Freisen,,DEC,DEU
25822932,1,,50933 Köln,,DEA,DEU
25822952,1,,17321 Löcknitz,,DE8,DEU
25822956,1,,38108 Braunschweig,,DE9,DEU
25822964,1,,17139 Malchin,,DE8,DEU
25822852,1,,27432 Bremervörde,,DE9,DEU
25822856,1,,29227 Celle,,DE9,DEU
25825368,1,,45549 Sprockhövel,,DEA,DEU
25825372,1,,26903 Surwold,,DE9,DEU
25825376,1,,99974 Mühlhausen/Thüringen,,DEG,DEU
25825384,1,,48366 Laer,,DEA,DEU
25825392,1,,26903 Surwold,,DE9,DEU
25825396,1,,41464 Neuss,,DEA,DEU
25825400,1,,27432 Bremervörde,,DE9,DEU
25825404,1,,12489 Berlin,,DE3,DEU
25825408,1,,23554 Lübeck,,DEF,DEU
25825412,1,,66629 Freisen,,DEC,DEU
25825416,1,,66629 Freisen,,DEC,DEU
25825420,1,,51149 Köln,,DEA,DEU
25825432,1,,21732 Krummendeich,,DE9,DEU
25825440,1,,17139 Malchin,,DE8,DEU
25821438,2,,26892 Dörpen,,DE9,DEU
25825348,1,,27432 Bremervörde,,DE9,DEU
25825352,1,,29348 Eschede Ortsteil HÖfer,,DE9,DEU
25817140,2,,18356 Barth,,DE8,DEU
25635804,1,,76863 Herxheim,,DEB,DEU
25750966,2,,17321 Löcknitz,,DE8,DEU
25744564,2,,10623 Berlin,,DE3,DEU
25723776,3,,04575 Neukieritzsch,,DED,DEU
25823454,1,,15374 Müncheberg,,DE4,DEU
25719552,1,,76872 Winden,,DEB,DEU
25823356,1,,81671 München,,DE2,DEU
25823352,1,,81671 München,,DE2,DEU
25827156,1,,96184 Rentweinsdorf,,DE2,DEU
25822756,1,,22303 Hamburg,,DE6,DEU
25822708,1,,08107 Kirchberg,,DED,DEU
25823406,1,,14480 Potsdam,,DE4,DEU
25823012,1,,29614 Soltau,,DE9,DEU
25825852,1,,55743 Idar-Oberstein,,DEB,DEU
25822632,1,,01796 Pirna,,DED,DEU
25822628,1,,01796 Pirna,,DED,DEU
25822624,1,,01796 Pirna,,DED,DEU
25822620,1,,26441 Jever,,DE9,DEU
25825660,1,,59929 Brilon-Altenbüren,,DEA,DEU
25823334,1,,25856 Hattstedt,,DEF,DEU
25827188,1,,Dresden,,DED,DEU
25823104,1,,26160 Bad Zwischenahn,,DE9,DEU
25823326,1,,01239 Dresden,,DED,DEU
25827084,1,,94032 Passau,,DE2,DEU
25823348,1,,81671 München,,DE2,DEU
25827184,1,,Dresden,,DED,DEU
25823344,1,,81671 München,,DE2,DEU
25823446,1,,16835 Rüthnick,,DE4,DEU
25827180,1,,Leipzig,,DED,DEU
25827176,1,,"Sächsisches Krankenhaus Rodewisch, Dachsanierung Geb. B21 
Bahnhofstraße , 08228 Rodewisch",,,DEU
25825462,1,,B7 OD Netra Landstraße,,,DEU
25826954,1,,"22111 Bauerberg 10, Hamburg",,DE6,DEU
25826978,1,,32457 Porta Westfalica,,DEA,DEU
25822616,1,,26441 Jever,,DE9,DEU
25825844,1,,55743 Idar-Oberstein,,DEB,DEU
25826950,1,,20537 Hamburg,,DE6,DEU
25826974,1,,54570 Wallenborn,,DEB,DEU
25822584,1,,01612 Glaubitz,,DED,DEU
25823072,1,,37154 Northeim,,DE9,DEU
25823056,1,,27283 Verden,,DE9,DEU
25827172,1,,Leipzig,,DED,DEU
25823478,1,,67487 Maikammer,,DEB,DEU
25823784,1,,Reichelsheim,,DE7,DEU
