noticeIdentifier,noticeVersion,lotIdentifier,scope,documentReferenceId,documentType,description,rawUrl,url
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,LOT-0000,lot,210338,non-restricted-document,,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/2/tenderId/210338,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/2/tenderId/210338
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4Y6JMPXT/documents,https://www.dtvp.de/Satellite/notice/CXP4Y6JMPXT/documents
921b9e0b-9696-467e-a913-ccc15ad1abe6,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://vergabemarktplatz.brandenburg.de/VMPSatellite/notice/CXVRYYDDYRCGCN3N/documents,https://vergabemarktplatz.brandenburg.de/VMPSatellite/notice/CXVRYYDDYRCGCN3N/documents
e4037a44-d382-4130-95c5-b24bacec472a,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://saarvpsl.vmstart.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-19ff62fe67f-5c9942034dc5e46e,https://saarvpsl.vmstart.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-19ff62fe67f-5c9942034dc5e46e
531ef96a-411b-4e8d-9e60-ba326a97f149,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://www.sachsen-vergabe.de/NetServer/PublicationControllerServlet?function=Detail&TWOID=54321-Tender-19fc640c1ea-3306e7da0e9d5fca&PublicationType=0,https://www.sachsen-vergabe.de/NetServer/PublicationControllerServlet?function=Detail&TWOID=54321-Tender-19fc640c1ea-3306e7da0e9d5fca&PublicationType=0
a3beabad-c6af-4c42-804c-bbcc86f3b382,01,LOT-0001,lot,890491-1,non-restricted-document,,https://www.evergabe-online.de/tenderdocuments.html?id=890491,https://www.evergabe-online.de/tenderdocuments.html?id=890491
b24c4956-df4a-4280-851f-1a21bc105482,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4YF3MPJ7/documents,https://www.dtvp.de/Satellite/notice/CXP4YF3MPJ7/documents
50e20b67-265d-4b6d-a1cc-a2c8cab29bd0,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4YHVMPD7/documents,https://www.dtvp.de/Satellite/notice/CXP4YHVMPD7/documents
1077025c-9104-45b0-8184-c7b1e3d129a7,01,LOT-0000,lot,-1,non-restricted-document,,https://www.staatsanzeiger-eservices.de/aJs/EFormsBekVuUrl?z_param=329921,https://www.staatsanzeiger-eservices.de/aJs/EFormsBekVuUrl?z_param=329921
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4Y2RM7B6/documents,https://www.dtvp.de/Satellite/notice/CXP4Y2RM7B6/documents
